Did,Oid,Cid,Onum,Duint_price
41517,35,86438,7,306
14252,58,27688,10,157
25713,63,76146,7,156
29146,27,32963,8,421
47575,90,94114,5,503
28722,85,35120,7,806
64840,52,5359,2,659
70820,89,21125,5,883
25540,90,27190,10,722
6154,39,86651,4,436
23888,53,40195,3,20
59515,1,6334,4,177
73558,83,4703,1,454
18719,67,55222,2,217
20162,13,89820,9,154
68107,2,83367,2,61
17140,25,15271,9,616
40110,82,97736,1,798
15560,40,28719,2,377
19953,36,43655,8,846
10623,21,52044,6,734
5739,17,38690,7,355
74687,86,23897,10,769
61264,64,52550,9,406
64540,33,69595,4,617
48660,85,54268,2,810
59437,32,38579,9,837
75361,12,96099,8,790
49587,20,46695,9,623
17632,3,6065,10,295
72557,68,26826,4,15
68562,61,5180,10,602
78830,45,25906,3,346
20189,38,89384,3,7
46274,28,18545,4,798
28670,91,51357,3,109
20346,61,59845,6,463
15507,27,3014,6,384
71242,73,26887,6,97
66330,30,58733,4,666
47052,71,1876,1,896
45271,96,42787,9,34
76916,32,18357,6,498
65990,30,44755,4,396
66393,16,15826,7,788
74625,66,82775,8,802
34036,39,42524,4,342
76430,13,14774,10,162
44565,47,86082,5,877
24799,85,29393,10,783
24235,64,62828,7,517
38816,46,40225,2,545
42615,60,85376,6,53
57981,93,12741,3,296
40739,77,45580,1,646
60890,70,26637,3,386
62541,59,96839,10,739
23507,27,330,6,487
58039,58,5330,1,392
25359,45,3876,3,281
26656,42,22042,2,931
55717,16,98586,4,824
72156,50,22303,4,354
19130,18,97794,7,281
79184,2,20293,9,665
25198,38,55536,9,984
63920,36,18565,3,911
70479,34,2575,9,943
33335,10,59242,3,831
49968,54,15807,3,158
20064,79,7129,2,111
65915,97,96986,10,329
21372,79,81051,4,372
45709,65,48053,9,811
36389,38,70464,1,781
58176,92,98045,8,458
8446,27,86395,10,364
65152,48,16585,6,754
14403,27,15727,2,727
61767,75,37059,2,352
17855,56,94426,4,611
2354,81,67396,10,758
76811,29,33841,4,868
66981,39,94874,8,844
79966,15,44940,7,256
60249,2,47543,9,97
39744,23,80400,4,116
11584,52,32023,3,114
6213,15,66137,6,356
78914,64,7083,9,154
61301,86,12693,8,167
54721,15,78924,3,400
50153,34,33340,10,942
77438,79,4452,1,207
47185,28,84743,10,480
26115,30,39592,8,377
13443,40,19871,8,592
49806,100,35705,10,474
40092,75,24613,7,507
46639,100,65124,8,72
60629,79,45079,10,921
49618,26,65037,8,888
66743,14,92815,2,685
76382,38,6945,7,868
18532,72,52731,7,165
35590,21,30,9,644
62398,21,39683,4,408
57447,85,99403,7,521
50271,9,43152,10,722
62991,8,62478,4,476
4134,46,76668,9,233
44765,26,45228,4,420
31413,86,82327,9,345
65647,76,43623,5,104
48741,21,36430,7,729
49600,35,14684,1,154
60355,19,78837,7,162
6623,64,28916,8,889
57826,87,85774,2,440
17796,40,44291,6,528
59134,49,6347,8,914
7395,16,88204,7,819
7176,72,42334,9,391
51873,73,81837,9,548
66437,72,47649,7,163
3528,31,64062,4,513
13232,76,71227,1,516
50050,9,52900,3,781
74835,11,49837,9,794
76674,90,92266,8,628
46585,29,70905,9,364
14410,52,24333,7,180
46117,43,2610,8,952
7172,54,46460,6,522
46099,73,67814,6,108
44062,19,83549,9,195
4796,89,43354,5,748
46179,5,33573,10,726
63641,56,40745,4,269
63736,27,29387,3,29
16830,33,50846,10,60
58754,22,65007,9,477
41058,45,48028,10,193
35528,87,25868,4,11
28061,40,23561,7,217
47062,60,18181,8,526
11940,1,7368,10,264
49112,40,99233,8,617
29106,40,34421,2,5
4898,52,58847,5,303
16263,87,43535,2,846
32966,10,76374,5,425
22794,5,35571,4,945
65856,39,80298,10,651
75651,16,90723,8,268
33559,97,81161,2,274
54482,87,66350,6,456
52677,93,25867,1,655
2531,11,50183,9,413
67070,50,91773,3,568
15621,39,82833,10,82
28391,51,87916,6,741
59243,16,32388,9,518
35965,25,78381,7,229
33723,34,17812,9,835
10313,42,76160,5,148
73203,27,54652,5,580
20575,79,52934,10,225
50461,95,13274,7,321
37902,50,8710,3,83
49615,8,26145,1,873
35967,77,14324,8,422
51615,65,70975,4,985
7427,80,29585,1,430
17249,15,74896,9,397
15199,8,75128,4,727
57715,71,78353,1,243
68160,78,53596,1,401
24735,10,38164,1,760
56006,52,66247,10,995
46057,5,58496,9,184
63193,94,21937,8,708
29345,48,56141,6,12
37006,44,27216,10,210
48285,18,72318,10,158
