Pid,Pname,Pweight,Psize
101,香蕉,94,3 79 97
102,书,16,74 14 35
103,蛋黄派,49,18 40 94
201,蛋黄派,20,4 11 95
104,茶叶,5,59 69 6
202,上衣,48,44 28 88
105,香蕉,43,23 82 9
301,矿泉水,72,66 30 86
203,书,98,16 71 3
106,薯片,86,100 39 86
302,苹果,70,21 76 67
401,矿泉水,31,48 94 61
204,上衣,73,53 51 30
501,香蕉,77,54 16 62
107,电脑,42,74 45 35
303,书,74,72 31 63
601,垃圾袋,7,59 25 48
402,垃圾袋,12,86 90 63
205,茶叶,39,35 4 46
502,椅子,28,82 52 18
701,上衣,58,71 28 50
108,茶叶,23,41 6 69
304,薯片,77,32 20 3
602,垃圾袋,63,44 93 14
801,矿泉水,5,83 26 8
403,电脑,77,60 50 70
901,书,11,59 50 96
206,垃圾袋,15,11 23 92
503,垃圾袋,31,72 96 91
702,帽子,17,93 20 36
1001,茶叶,97,82 33 38
109,垃圾袋,62,69 92 72
1101,电脑,44,85 20 77
305,帽子,61,66 92 14
1201,茶叶,64,91 19 80
603,蛋黄派,25,94 22 34
802,茶叶,3,40 46 78
1301,香蕉,31,30 63 80
404,蛋黄派,72,19 22 97
902,椅子,22,59 28 19
1401,椅子,70,60 80 62
207,蛋黄派,87,26 2 92
504,垃圾袋,44,44 67 28
703,上衣,65,47 79 44
1002,茶叶,31,54 15 62
1501,椅子,74,97 74 93
110,矿泉水,62,1 80 8
1601,薯片,94,50 47 50
1102,茶叶,41,13 3 98
306,椅子,49,59 3 94
1701,苹果,37,66 48 7
1202,电脑,10,6 77 25
1801,电脑,62,91 84 15
604,上衣,16,31 40 17
1901,书,4,41 18 62
803,垃圾袋,12,64 3 7
2001,垃圾袋,84,81 38 23
1302,垃圾袋,96,16 3 27
2101,蛋黄派,40,15 69 90
405,蛋黄派,14,93 50 22
2201,茶叶,28,55 9 41
903,薯片,48,26 5 57
1402,蛋黄派,23,75 85 89
2301,蛋黄派,25,81 51 55
208,椅子,2,82 90 13
505,苹果,13,67 27 81
2401,上衣,66,17 95 7
704,书,56,99 75 37
1003,薯片,77,8 63 39
